datetime,mav_roll,mav_pitch,mav_tilt,mav_acc_x,mav_acc_y,mav_acc_z,sonic_wind_dir,sonic_wind
2020-03-26 18:41:41+00:00,2.759520282,5.406774721,7.425478357,0.092663448,-0.045529548,-0.045529548,149.9199989,3.205525199
2020-03-26 18:41:42+00:00,2.588575937,5.497533915,5.61183571,0.095833248,-0.049329107,-0.049329107,140.1504148,3.231744102
2020-03-26 18:41:43+00:00,3.144304341,6.730275066,4.547127298,0.102942808,-0.051655105,-0.051655105,135.1900593,3.403276714
2020-03-26 18:41:44+00:00,3.061044778,4.705718485,5.569944616,0.081221678,-0.055164043,-0.055164043,133.0426594,3.1223891
2020-03-26 18:41:45+00:00,2.839796307,3.552782539,6.760194104,0.075469571,-0.047987021,-0.047987021,146.4199956,3.159213081
2020-03-26 18:41:46+00:00,2.540692301,4.958355591,6.810337098,0.081581038,-0.047365811,-0.047365811,151.3200308,3.282856121
2020-03-26 18:41:47+00:00,3.46063653,5.81079315,6.432887608,0.10091313,-0.061668052,-0.061668052,153.2355338,3.483468836
2020-03-26 18:41:48+00:00,3.719025053,5.709234995,6.940581011,0.095613889,-0.055922909,-0.055922909,121.6975598,3.605828007
2020-03-26 18:41:49+00:00,2.800442163,5.793644675,5.827338042,0.103095948,-0.053651503,-0.053651503,119.0454762,3.31680172
2020-03-26 18:41:50+00:00,2.958255917,6.281359811,6.186007137,0.10287018,-0.046501243,-0.046501243,128.410623,3.783057959
2020-03-26 18:41:51+00:00,2.29814793,5.356471051,5.906068815,0.097099436,-0.048801237,-0.048801237,111.5589278,4.143635137
2020-03-26 18:41:52+00:00,3.401530275,5.169884094,6.269603243,0.090076738,-0.054845546,-0.054845546,114.7654508,4.17859038
2020-03-26 18:41:53+00:00,3.152935151,4.996585555,6.154784781,0.08480907,-0.056813549,-0.056813549,110.1749783,4.42595259
2020-03-26 18:41:54+00:00,3.687493894,5.074040707,5.328627397,0.089871951,-0.063269406,-0.063269406,123.8442221,3.640567819
2020-03-26 18:41:55+00:00,3.891742707,4.77187175,6.261082648,0.070538921,-0.065378657,-0.065378657,125.0955346,3.241264774
2020-03-26 18:41:56+00:00,3.675982367,3.860295584,5.908825779,0.082870331,-0.058676379,-0.058676379,126.4099125,3.474249116
2020-03-26 18:41:57+00:00,3.276391332,5.338305227,7.462064603,0.071787456,-0.064712363,-0.064712363,137.3597829,4.365577555
2020-03-26 18:41:58+00:00,4.22625789,4.133276194,5.452689502,0.093709523,-0.069301092,-0.069301092,124.3088345,4.180735878
2020-03-26 18:41:59+00:00,3.754729338,6.453223744,6.857840583,0.099106095,-0.057432301,-0.057432301,133.6147658,4.586424841
2020-03-26 18:42:00+00:00,2.617565766,4.784988084,4.758138829,0.084763786,-0.06557701,-0.06557701,128.9358727,4.458629408
2020-03-26 18:42:01+00:00,4.368916379,5.291205943,6.213440884,0.085430695,-0.060286228,-0.060286228,142.3464901,4.275413739
2020-03-26 18:42:02+00:00,2.881205753,3.788223913,6.072054463,0.083293152,-0.051807866,-0.051807866,132.3237677,4.331093134
2020-03-26 18:42:03+00:00,2.924105201,5.484760211,6.194464,0.077901759,-0.064814844,-0.064814844,154.2823238,3.881095992
2020-03-26 18:42:04+00:00,4.369991519,4.219902325,5.895205392,0.076817914,-0.068579074,-0.068579074,139.2829624,4.108587203
2020-03-26 18:42:05+00:00,3.535997674,5.089303838,4.333119862,0.090010738,-0.058630525,-0.058630525,137.6948908,4.882904896
2020-03-26 18:42:06+00:00,2.982870169,5.087173012,3.27872765,0.074890876,-0.047833777,-0.047833777,130.8927727,5.170024457
2020-03-26 18:42:07+00:00,2.447480994,3.576807094,4.371013148,0.063449268,-0.041408883,-0.041408883,128.0278096,4.599265922
2020-03-26 18:42:08+00:00,1.704788888,2.801082962,4.978476962,0.051324266,-0.028971106,-0.028971106,136.7988413,4.817001731
2020-03-26 18:42:09+00:00,2.211514167,3.771210221,4.909143825,0.064658374,-0.045194041,-0.045194041,135.5962449,4.704357334
2020-03-26 18:42:10+00:00,2.560730154,4.270836541,5.580667184,0.066412522,-0.041071322,-0.041071322,139.6417878,4.046189705
2020-03-26 18:42:11+00:00,3.060938777,3.839841261,6.601560567,0.076326555,-0.046615317,-0.046615317,145.3792413,4.350959265
2020-03-26 18:42:12+00:00,2.611159453,4.933817566,6.747440691,0.086056825,-0.050140431,-0.050140431,154.3635166,5.094963676
2020-03-26 18:42:13+00:00,3.227144474,5.762055286,6.309714812,0.100029732,-0.05345068,-0.05345068,132.095226,4.829128259
2020-03-26 18:42:14+00:00,3.214130346,5.935850042,6.269793769,0.097312742,-0.054222164,-0.054222164,136.3046804,4.687180227
2020-03-26 18:42:15+00:00,3.007280341,5.549510752,6.319219115,0.097186902,-0.054533452,-0.054533452,135.0648037,4.95038037
2020-03-26 18:42:16+00:00,3.131631316,5.434393387,6.681199117,0.092909546,-0.053486851,-0.053486851,146.0471548,4.957016181
2020-03-26 18:42:17+00:00,3.274804861,5.407406946,6.13501217,0.098113553,-0.059009393,-0.059009393,144.6440131,5.088726831
2020-03-26 18:42:18+00:00,3.569718954,5.651273215,5.14480256,0.09482838,-0.062777478,-0.062777478,132.4615313,5.71640266
2020-03-26 18:42:19+00:00,3.390873463,5.115753064,7.153490769,0.086427344,-0.050146067,-0.050146067,124.7483565,5.120543486
2020-03-26 18:42:20+00:00,2.699488668,4.3813201,6.71440719,0.07547121,-0.064854247,-0.064854247,124.3871147,5.972647592
2020-03-26 18:42:21+00:00,4.023209721,5.919786268,5.538925244,0.091363805,-0.059506111,-0.059506111,121.6974353,5.988093168
2020-03-26 18:42:22+00:00,5.218330483,4.231056014,6.795666453,0.080374046,-0.077282054,-0.077282054,135.2790357,6.082323608
2020-03-26 18:42:23+00:00,3.217159347,4.511206005,7.053757517,0.083350813,-0.067918596,-0.067918596,131.4366272,5.955128965
2020-03-26 18:42:24+00:00,4.389642756,5.192776414,3.679321226,0.089425016,-0.072395179,-0.072395179,135.6907765,4.898631387
2020-03-26 18:42:25+00:00,4.289432398,5.604909905,5.436414423,0.081739763,-0.056113406,-0.056113406,134.6799912,5.804655868
2020-03-26 18:42:26+00:00,1.895705308,3.153939896,5.858039638,0.06859583,-0.049501126,-0.049501126,152.8639647,5.425099925
2020-03-26 18:42:27+00:00,2.6629802,4.74123765,8.104046934,0.074175605,-0.047913973,-0.047913973,145.9002874,6.069514019
2020-03-26 18:42:28+00:00,2.776967159,5.160033439,9.237529511,0.093900776,-0.052568969,-0.052568969,152.4304871,6.111225574
2020-03-26 18:42:29+00:00,3.813624825,7.155946103,7.316497227,0.129140798,-0.066252631,-0.066252631,151.3247589,6.715410773
2020-03-26 18:42:30+00:00,4.471018087,8.091667242,7.189775442,0.125548181,-0.066983524,-0.066983524,147.320764,7.29251334
2020-03-26 18:42:31+00:00,3.172955278,6.596060294,7.712434604,0.106391068,-0.057176691,-0.057176691,136.686484,7.093948987
2020-03-26 18:42:32+00:00,3.61434824,6.219382605,5.320620368,0.120722366,-0.062705237,-0.062705237,142.5573326,7.088728398
2020-03-26 18:42:33+00:00,3.48378144,6.885012914,6.513211166,0.104879687,-0.057473226,-0.057473226,137.2313274,7.050021699
2020-03-26 18:42:34+00:00,2.530626218,4.681793834,7.785168155,0.086371041,-0.05422144,-0.05422144,134.3487432,6.216255051
2020-03-26 18:42:35+00:00,3.716497259,5.352549265,8.392166107,0.098403166,-0.062636686,-0.062636686,136.3073877,6.138245136
2020-03-26 18:42:36+00:00,4.16625831,6.582369888,9.130425465,0.111043455,-0.064817162,-0.064817162,133.3057124,6.474109837
2020-03-26 18:42:37+00:00,3.961663087,7.404131793,8.962329945,0.125454478,-0.074185589,-0.074185589,138.0213673,6.516118087
2020-03-26 18:42:38+00:00,4.890497395,7.719628956,7.98679746,0.130298025,-0.083747964,-0.083747964,138.3639773,6.916075629
2020-03-26 18:42:39+00:00,5.341942866,7.206784512,8.683843667,0.119943027,-0.083736175,-0.083736175,132.6825216,7.011704541
2020-03-26 18:42:40+00:00,4.317527434,6.725594369,8.287326361,0.119341196,-0.078623222,-0.078623222,137.7460082,7.253988839
2020-03-26 18:42:41+00:00,4.832269979,7.223726379,8.610686143,0.119190894,-0.080623734,-0.080623734,126.5368336,6.605196392
2020-03-26 18:42:42+00:00,4.433791588,7.008527313,9.212421062,0.124829793,-0.078894629,-0.078894629,136.5975208,6.628734363
